SN,State,LGA,Health Facility,% of states that have commenced recruitment of SBAs,Proportion of targeted SBA recruitments that have been completed (recruited over planned),Number of SBAs recruited,Proportion of SBAs deployed per state (total number deployed),Total number of SBAs,Proportion of planned frontline health workers who have been trained,Proportion of CBHWs recruited (state),Number of CBHWs trained (state),Proportion of CBHWs deployed per state (state),% of recruited CBHWs that have been absorbed ,Total BHCPF Facilities (LGA),Proportion of L2 functional facilities per LGA (BHCPF),Proportion of L1 functional facilities per LGA,Proportion of partially functional facilities per LGA,Number of revitalized PHC facilities per LGA,# of emergency referrals transported via the ambulance service,# of obstetric and newborn emergency referrals transported via the ambulance service,# of obstetric emergencies reported via helplines,,,,,
580,GOMBE,DUKKU,Zange Primary Health Centre,NO,0,0,0,3,81,0,0,0,0,11,10,1,0,20,,,,,,,,
581,GOMBE,DUKKU,Zaune Primary Health Centre,NO,0,0,0,5,81,0,0,0,0,11,10,1,0,20,,,,,,,,
582,GOMBE,FUNAKAYE,Bage Primary Health Centre,NO,0,0,0,4,55,0,0,0,0,10,5,5,0,16,,,,,,,,
583,GOMBE,FUNAKAYE,Bajoga Primary Health Centre,NO,0,0,0,14,55,0,0,0,0,10,5,5,0,16,,,,,,,,
584,GOMBE,FUNAKAYE,Jalingo Primary Health Centre,NO,0,0,0,10,55,0,0,0,0,10,5,5,0,16,,,,,,,,
585,GOMBE,FUNAKAYE,Jillahi Primary Health Centre,NO,0,0,0,5,55,0,0,0,0,10,5,5,0,16,,,,,,,,
586,GOMBE,FUNAKAYE,Kupto Primary Health Centre,NO,0,0,0,4,55,0,0,0,0,10,5,5,0,16,,,,,,,,
587,GOMBE,FUNAKAYE,Ribadu Primary Health Centre,NO,0,0,0,6,55,0,0,0,0,10,5,5,0,16,,,,,,,,
588,GOMBE,FUNAKAYE,Sangaru Primary Health Centre,NO,0,0,0,14,55,0,0,0,0,10,5,5,0,16,,,,,,,,
589,GOMBE,FUNAKAYE,Tilde Primary Health Centre,NO,0,0,0,5,55,0,0,0,0,10,5,5,0,16,,,,,,,,
590,GOMBE,FUNAKAYE,Tongo Primary Health Centre,NO,0,0,0,9,55,0,0,0,0,10,5,5,0,16,,,,,,,,
591,GOMBE,FUNAKAYE,Wawa Maternal And Child Health Clinic,NO,0,0,0,5,55,0,0,0,0,10,5,5,0,16,,,,,,,,
592,GOMBE,KALTUNGO,At Ashamaki Hospital,NO,0,0,0,10,47,0,0,0,0,10,10,0,0,15,,,,,,,,
593,GOMBE,KALTUNGO,Bauke Gari Primary Health Centre,NO,0,0,0,5,47,0,0,0,0,10,10,0,0,15,,,,,,,,
594,GOMBE,KALTUNGO,Gujuba Primary Health Centre,NO,0,0,0,7,47,0,0,0,0,10,10,0,0,15,,,,,,,,
595,GOMBE,KALTUNGO,Kalorgu Primary Health Centre,NO,0,0,0,7,47,0,0,0,0,10,10,0,0,15,,,,,,,,
596,GOMBE,KALTUNGO,Kaltin Primary Health Centre,NO,0,0,0,6,47,0,0,0,0,10,10,0,0,15,,,,,,,,
597,GOMBE,KALTUNGO,Lakidir Health Centre,NO,0,0,0,7,47,0,0,0,0,10,10,0,0,15,,,,,,,,
598,GOMBE,KALTUNGO,Sabon Layi Awak Primary Health Centre,NO,0,0,0,7,47,0,0,0,0,10,10,0,0,15,,,,,,,,
599,GOMBE,KALTUNGO,Ture Balam Primary Health Centre,NO,0,0,0,8,47,0,0,0,0,10,10,0,0,15,,,,,,,,
600,GOMBE,KALTUNGO,Wange Primary Health Centre,NO,0,0,0,6,47,0,0,0,0,10,10,0,0,15,,,,,,,,
601,GOMBE,KALTUNGO,Yiri Primary Health Centre,NO,0,0,0,4,47,0,0,0,0,10,10,0,0,15,,,,,,,,
602,GOMBE,KWAMI,Abuja Health Clinic,NO,0,0,0,2,119,0,0,0,0,10,8,2,0,14,,,,,,,,
603,GOMBE,KWAMI,Deban Fuani Dispensary,NO,0,0,0,9,119,0,0,0,0,10,8,2,0,14,,,,,,,,
604,GOMBE,KWAMI,Dirri Health Centre,NO,0,0,0,10,119,0,0,0,0,10,8,2,0,14,,,,,,,,
605,GOMBE,KWAMI,Doho Primary Health Centre,NO,0,0,0,11,119,0,0,0,0,10,8,2,0,14,,,,,,,,
606,GOMBE,KWAMI,Dukkul Health Clinic,NO,0,0,0,8,119,0,0,0,0,10,8,2,0,14,,,,,,,,
607,GOMBE,KWAMI,Gadam Health Care Primary Health Centre,NO,0,0,0,13,119,0,0,0,0,10,8,2,0,14,,,,,,,,
608,GOMBE,KWAMI,Jurara Primary Health Centre,NO,0,0,0,3,119,0,0,0,0,10,8,2,0,14,,,,,,,,
609,GOMBE,KWAMI,Kwami Primary Health Centre,NO,0,0,0,15,119,0,0,0,0,10,8,2,0,14,,,,,,,,
610,GOMBE,KWAMI,Mallam Sidi Primary Health Centre,NO,0,0,0,8,119,0,0,0,0,10,8,2,0,14,,,,,,,,
611,GOMBE,KWAMI,Malleri Health Clinic,NO,0,0,0,6,119,0,0,0,0,10,8,2,0,14,,,,,,,,
612,GOMBE,NAFADA,Barwo Nasarawo Primary Health Centre,NO,0,0,0,5,47,0,0,0,0,10,7,3,0,14,,,,,,,,
613,GOMBE,NAFADA,Barwo Winde Primary Health Centre,NO,0,0,0,4,47,0,0,0,0,10,7,3,0,14,,,,,,,,
614,GOMBE,NAFADA,Birin Bolawa Primary Health Centre,NO,0,0,0,6,47,0,0,0,0,10,7,3,0,14,,,,,,,,
615,GOMBE,NAFADA,Birin Fulani Primary Health Centre,NO,0,0,0,4,47,0,0,0,0,10,7,3,0,14,,,,,,,,
616,GOMBE,NAFADA,Gudukku Primary Health Centre,NO,0,0,0,3,47,0,0,0,0,10,7,3,0,14,,,,,,,,
617,GOMBE,NAFADA,Jigawa Primary Health Centre,NO,0,0,0,2,47,0,0,0,0,10,7,3,0,14,,,,,,,,
618,GOMBE,NAFADA,Mada Primary Health Centre,NO,0,0,0,2,47,0,0,0,0,10,7,3,0,14,,,,,,,,
619,GOMBE,NAFADA,Nafada Primary Health Centre,NO,0,0,0,8,47,0,0,0,0,10,7,3,0,14,,,,,,,,
620,GOMBE,NAFADA,Sorodo Primary Health Centre,NO,0,0,0,5,47,0,0,0,0,10,7,3,0,14,,,,,,,,
621,GOMBE,NAFADA,Wure Primary Health Centre,NO,0,0,0,4,47,0,0,0,0,10,7,3,0,14,,,,,,,,
622,GOMBE,SHOMGOM,Bangunji Primary Health Centre,NO,0,0,0,6,81,0,0,0,0,10,10,0,0,12,,,,,,,,
623,GOMBE,SHOMGOM,Boh Model Primary Health Centre,NO,0,0,0,13,81,0,0,0,0,10,10,0,0,12,,,,,,,,
624,GOMBE,SHOMGOM,Burak Primary Health Centre,NO,0,0,0,8,81,0,0,0,0,10,10,0,0,12,,,,,,,,
625,GOMBE,SHOMGOM,Filiya Primary Health Centre,NO,0,0,0,7,81,0,0,0,0,10,10,0,0,12,,,,,,,,
626,GOMBE,SHOMGOM,Gundale Primary Health Centre,NO,0,0,0,7,81,0,0,0,0,10,10,0,0,12,,,,,,,,
627,GOMBE,SHOMGOM,Gwandum Primary Health Centre,NO,0,0,0,7,81,0,0,0,0,10,10,0,0,12,,,,,,,,
628,GOMBE,SHOMGOM,Kulishin Primary Health Centre,NO,0,0,0,18,81,0,0,0,0,10,10,0,0,12,,,,,,,,
629,GOMBE,SHOMGOM,Kushi Kauri Primary Health Centre,NO,0,0,0,4,81,0,0,0,0,10,10,0,0,12,,,,,,,,
630,GOMBE,SHOMGOM,Lalaipido Primary Health Centre,NO,0,0,0,13,81,0,0,0,0,10,10,0,0,12,,,,,,,,
631,GOMBE,SHOMGOM,Lapan Primary Health Centre,NO,0,0,0,14,81,0,0,0,0,10,10,0,0,12,,,,,,,,
632,GOMBE,YAMALTU DEBA,Daba Primary Health Centre,NO,0,0,0,5,121,0,0,0,0,11,11,0,0,#N/A,,,,,,,,
633,GOMBE,YAMALTU DEBA,Dadin Kowa Mhc Primary Health Centre,NO,0,0,0,8,121,0,0,0,0,11,11,0,0,#N/A,,,,,,,,
634,GOMBE,YAMALTU DEBA,Dangar Primary Health Centre,NO,0,0,0,11,121,0,0,0,0,11,11,0,0,#N/A,,,,,,,,
635,GOMBE,YAMALTU DEBA,Kurjale Primary Health Centre,NO,0,0,0,6,121,0,0,0,0,11,11,0,0,#N/A,,,,,,,,
636,GOMBE,YAMALTU DEBA,Kwadon Primary Health Centre,NO,0,0,0,18,121,0,0,0,0,11,11,0,0,#N/A,,,,,,,,
637,GOMBE,YAMALTU DEBA,Lano Primary Health Centre,NO,0,0,0,10,121,0,0,0,0,11,11,0,0,#N/A,,,,,,,,
638,GOMBE,YAMALTU DEBA,Lubo Primary Health Centre,NO,0,0,0,6,121,0,0,0,0,11,11,0,0,#N/A,,,,,,,,
639,GOMBE,YAMALTU DEBA,Maikaho Primary Health Centre,NO,0,0,0,5,121,0,0,0,0,11,11,0,0,#N/A,,,,,,,,
640,GOMBE,YAMALTU DEBA,Nono S Kudu Primary Health Centre,NO,0,0,0,5,121,0,0,0,0,11,11,0,0,#N/A,,,,,,,,
641,GOMBE,YAMALTU DEBA,Shinga Primary Health Centre,NO,0,0,0,5,121,0,0,0,0,11,11,0,0,#N/A,,,,,,,,
642,GOMBE,YAMALTU DEBA,Zambuk Primary Health Centre,NO,0,0,0,9,121,0,0,0,0,11,11,0,0,#N/A,,,,,,,,
643,IMO,IDEATO SOUTH,Dikenafai Maternal And Child Health Facility,NO,0,0,0,3,55,0,0,0,0,13,1,12,0,8,,,,,,,,
644,IMO,IDEATO SOUTH,Ntueke Health Centre,NO,0,0,0,5,55,0,0,0,0,13,1,12,0,8,,,,,,,,
645,IMO,IDEATO SOUTH,Nwabosi Health Centre,NO,0,0,0,3,55,0,0,0,0,13,1,12,0,8,,,,,,,,
646,IMO,IDEATO SOUTH,Obiohia Health Centre,NO,0,0,0,5,55,0,0,0,0,13,1,12,0,8,,,,,,,,
647,IMO,IDEATO SOUTH,Ogboko (MDGs) Facility,NO,0,0,0,3,55,0,0,0,0,13,1,12,0,8,,,,,,,,
648,IMO,IDEATO SOUTH,Ugbelle Health Centre,NO,0,0,0,3,55,0,0,0,0,13,1,12,0,8,,,,,,,,
649,IMO,IDEATO SOUTH,Umuaghobe Health Centre,NO,0,0,0,3,55,0,0,0,0,13,1,12,0,8,,,,,,,,
650,IMO,IDEATO SOUTH,Umuakam Primary Health Centre,NO,0,0,0,3,55,0,0,0,0,13,1,12,0,8,,,,,,,,
651,IMO,IDEATO SOUTH,Umuchima Primary Health Centre,NO,0,0,0,3,55,0,0,0,0,13,1,12,0,8,,,,,,,,
652,IMO,IDEATO SOUTH,Umuduruahurunwa Primary Health Centre,NO,0,0,0,3,55,0,0,0,0,13,1,12,0,8,,,,,,,,
653,IMO,IDEATO SOUTH,Umueshi Health Centre,NO,0,0,0,1,55,0,0,0,0,13,1,12,0,8,,,,,,,,
654,IMO,IDEATO SOUTH,Umueshi Health Centre,NO,0,0,0,1,55,0,0,0,0,13,1,12,0,8,,,,,,,,
655,IMO,IDEATO SOUTH,Umumasiaku (MDGs) Facility,NO,0,0,0,3,55,0,0,0,0,13,1,12,0,8,,,,,,,,
656,IMO,NGOR OKPALA,Alulu Health Centre,NO,0,0,0,1,0,0,0,0,0,12,3,9,0,7,,,,,,,,
657,IMO,NGOR OKPALA,Amafor Health Centre,NO,0,0,0,2,0,0,0,0,0,12,3,9,0,7,,,,,,,,
658,IMO,NGOR OKPALA,Amapu Amala Health Centre,NO,0,0,0,1,0,0,0,0,0,12,3,9,0,7,,,,,,,,
659,IMO,NGOR OKPALA,Elelem Health Centre,NO,0,0,0,4,0,0,0,0,0,12,3,9,0,7,,,,,,,,
660,IMO,NGOR OKPALA,Eziama Primary Health Centre,NO,0,0,0,4,0,0,0,0,0,12,3,9,0,7,,,,,,,,
661,IMO,NGOR OKPALA,Nguru Health Centre,NO,0,0,0,2,0,0,0,0,0,12,3,9,0,7,,,,,,,,
662,IMO,NGOR OKPALA,Nneorie Health Centre,NO,0,0,0,2,0,0,0,0,0,12,3,9,0,7,,,,,,,,
663,IMO,NGOR OKPALA,Obiangwu Health Centre,NO,0,0,0,4,0,0,0,0,0,12,3,9,0,7,,,,,,,,
664,IMO,NGOR OKPALA,Orishieze Health Centre,NO,0,0,0,2,0,0,0,0,0,12,3,9,0,7,,,,,,,,
665,IMO,NGOR OKPALA,Umuekwune Health Centre,NO,0,0,0,3,0,0,0,0,0,12,3,9,0,7,,,,,,,,
666,IMO,NGOR OKPALA,Umukabia Health Centre,NO,0,0,0,4,0,0,0,0,0,12,3,9,0,7,,,,,,,,
667,IMO,NGOR OKPALA,Umuohiagu Health Centre,NO,0,0,0,3,0,0,0,0,0,12,3,9,0,7,,,,,,,,
668,IMO,NJABA,Amakor Health Centre,NO,0,0,0,2,69,0,0,0,0,14,1,13,0,9,,,,,,,,
669,IMO,NJABA,Amazano Health Centre,NO,0,0,0,3,69,0,0,0,0,14,1,13,0,9,,,,,,,,
670,IMO,NJABA,Amucha Ebeise Health Centre,NO,0,0,0,2,69,0,0,0,0,14,1,13,0,9,,,,,,,,
671,IMO,NJABA,Amucha Health Centre,NO,0,0,0,1,69,0,0,0,0,14,1,13,0,9,,,,,,,,
672,IMO,NJABA,Atta I Health Centre,NO,0,0,0,1,69,0,0,0,0,14,1,13,0,9,,,,,,,,
673,IMO,NJABA,Atta-II Health Centre,NO,0,0,0,4,69,0,0,0,0,14,1,13,0,9,,,,,,,,
674,IMO,NJABA,Egwedu Health Centre,NO,0,0,0,3,69,0,0,0,0,14,1,13,0,9,,,,,,,,
675,IMO,NJABA,Ibele Health Centre,NO,0,0,0,0,69,0,0,0,0,14,1,13,0,9,,,,,,,,
676,IMO,NJABA,Ihebinowere (Umuokwara) Health Centre,NO,0,0,0,3,69,0,0,0,0,14,1,13,0,9,,,,,,,,
677,IMO,NJABA,Isiozi Health Centre,NO,0,0,0,3,69,0,0,0,0,14,1,13,0,9,,,,,,,,
678,IMO,NJABA,Nkume Clinic,NO,0,0,0,1,69,0,0,0,0,14,1,13,0,9,,,,,,,,
679,IMO,NJABA,Nnenasa Health Centre,NO,0,0,0,3,69,0,0,0,0,14,1,13,0,9,,,,,,,,
680,IMO,NJABA,Okwudor Health Centre,NO,0,0,0,4,69,0,0,0,0,14,1,13,0,9,,,,,,,,
681,IMO,NJABA,Umuaka Health Centre,NO,0,0,0,2,69,0,0,0,0,14,1,13,0,9,,,,,,,,
682,JIGAWA,AUYO,Auyakayi Primary Health Centre,NO,0,0,0,5,0,0,0,0,0,10,7,3,0,7,,,,,,,,
683,JIGAWA,AUYO,Auyo Primary Health Centre,NO,0,0,0,23,0,0,0,0,0,10,7,3,0,7,,,,,,,,
684,JIGAWA,AUYO,Ayama Primary Health Centre,NO,0,0,0,4,0,0,0,0,0,10,7,3,0,7,,,,,,,,
685,JIGAWA,AUYO,Ayan Primary Health Centre,NO,0,0,0,5,0,0,0,0,0,10,7,3,0,7,,,,,,,,
686,JIGAWA,AUYO,Gamafoi Primary Health Centre,NO,0,0,0,3,0,0,0,0,0,10,7,3,0,7,,,,,,,,
687,JIGAWA,AUYO,Gatafa Primary Health Centre,NO,0,0,0,6,0,0,0,0,0,10,7,3,0,7,,,,,,,,
688,JIGAWA,AUYO,Kafur Primary Health Centre,NO,0,0,0,2,0,0,0,0,0,10,7,3,0,7,,,,,,,,
689,JIGAWA,AUYO,Kalgwai Primary Health Centre,NO,0,0,0,4,0,0,0,0,0,10,7,3,0,7,,,,,,,,
690,JIGAWA,AUYO,Shinge Gabas Primary Health Centre,NO,0,0,0,4,0,0,0,0,0,10,7,3,0,7,,,,,,,,
691,JIGAWA,AUYO,Tsidir Primary Health Centre,NO,0,0,0,3,0,0,0,0,0,10,7,3,0,7,,,,,,,,
692,JIGAWA,GAGARAWA,Gagarawa Gari Primary Health Centre,NO,0,0,0,5,40,0,0,0,0,10,9,1,0,7,,,,,,,,
693,JIGAWA,GAGARAWA,Gagarawa Tasha Primary Health Centre,NO,0,0,0,17,40,0,0,0,0,10,9,1,0,7,,,,,,,,
694,JIGAWA,GAGARAWA,Garin Chiroma Primary Health Centre,NO,0,0,0,5,40,0,0,0,0,10,9,1,0,7,,,,,,,,
695,JIGAWA,GAGARAWA,Kore Balatu Primary Health Centre,NO,0,0,0,3,40,0,0,0,0,10,9,1,0,7,,,,,,,,
696,JIGAWA,GAGARAWA,Madaka Primary Health Centre,NO,0,0,0,5,40,0,0,0,0,10,9,1,0,7,,,,,,,,
697,JIGAWA,GAGARAWA,Mai Aduwa Primary Health Centre,NO,0,0,0,4,40,0,0,0,0,10,9,1,0,7,,,,,,,,
698,JIGAWA,GAGARAWA,Maikilili Primary Health Centre,NO,0,0,0,6,40,0,0,0,0,10,9,1,0,7,,,,,,,,
699,JIGAWA,GAGARAWA,Medu Primary Health Centre,NO,0,0,0,9,40,0,0,0,0,10,9,1,0,7,,,,,,,,
700,JIGAWA,GAGARAWA,Yalawa Primary Health Centre,NO,0,0,0,5,40,0,0,0,0,10,9,1,0,7,,,,,,,,
701,JIGAWA,GAGARAWA,Zarada Primary Health Centre,NO,0,0,0,5,40,0,0,0,0,10,9,1,0,7,,,,,,,,
702,JIGAWA,GWARAM,Basirka Primary Health Centre,NO,0,0,0,17,99,0,0,0,0,11,11,0,0,7,,,,,,,,
703,JIGAWA,GWARAM,Fagam Primary Health Centre,NO,0,0,0,11,99,0,0,0,0,11,11,0,0,7,,,,,,,,
704,JIGAWA,GWARAM,Galambi Primary Health Centre,NO,0,0,0,11,99,0,0,0,0,11,11,0,0,7,,,,,,,,
705,JIGAWA,GWARAM,Gwaram Primary Health Centre,NO,0,0,0,7,99,0,0,0,0,11,11,0,0,7,,,,,,,,
706,JIGAWA,GWARAM,Kila Primary Health Centre,NO,0,0,0,10,99,0,0,0,0,11,11,0,0,7,,,,,,,,
707,JIGAWA,GWARAM,Kondiko Primary Health Centre,NO,0,0,0,7,99,0,0,0,0,11,11,0,0,7,,,,,,,,
708,JIGAWA,GWARAM,Maruta Primary Health Centre,NO,0,0,0,9,99,0,0,0,0,11,11,0,0,7,,,,,,,,
709,JIGAWA,GWARAM,Rabadi Primary Health Centre,NO,0,0,0,6,99,0,0,0,0,11,11,0,0,7,,,,,,,,
710,JIGAWA,GWARAM,Sara Primary Health Centre,NO,0,0,0,8,99,0,0,0,0,11,11,0,0,7,,,,,,,,
711,JIGAWA,GWARAM,Tsangarwa Primary Health Centre,NO,0,0,0,8,99,0,0,0,0,11,11,0,0,7,,,,,,,,
712,JIGAWA,GWARAM,Zandam Tagabas Primary Health Centre,NO,0,0,0,12,99,0,0,0,0,11,11,0,0,7,,,,,,,,
713,JIGAWA,JAHUN,Aujara Primary Health Centre,NO,0,0,0,14,124,0,0,0,0,11,9,2,0,6,,,,,,,,
714,JIGAWA,JAHUN,Gunka Primary Health Centre,NO,0,0,0,4,124,0,0,0,0,11,9,2,0,6,,,,,,,,
715,JIGAWA,JAHUN,Harbo Sabuwa Primary Health Centre,NO,0,0,0,8,124,0,0,0,0,11,9,2,0,6,,,,,,,,
716,JIGAWA,JAHUN,Harbo Tsohuwa Primary Health Centre,NO,0,0,0,6,124,0,0,0,0,11,9,2,0,6,,,,,,,,
717,JIGAWA,JAHUN,Idanduna Primary Health Centre,NO,0,0,0,7,124,0,0,0,0,11,9,2,0,6,,,,,,,,
718,JIGAWA,JAHUN,Jabarna Primary Health Centre,NO,0,0,0,4,124,0,0,0,0,11,9,2,0,6,,,,,,,,
719,JIGAWA,JAHUN,Kadawawa Primary Health Centre,NO,0,0,0,4,124,0,0,0,0,11,9,2,0,6,,,,,,,,
720,JIGAWA,JAHUN,Kale Primary Health Centre,NO,0,0,0,4,124,0,0,0,0,11,9,2,0,6,,,,,,,,
721,JIGAWA,JAHUN,Kanwa Primary Health Centre,NO,0,0,0,5,124,0,0,0,0,11,9,2,0,6,,,,,,,,
722,JIGAWA,JAHUN,Lautai Primary Health Centre,NO,0,0,0,4,124,0,0,0,0,11,9,2,0,6,,,,,,,,
723,JIGAWA,JAHUN,Urban Maternity Centre,NO,0,0,0,17,124,0,0,0,0,11,9,2,0,6,,,,,,,,
724,JIGAWA,KAFIN HAUSA,Dumadumin Toka Primary Health Centre,NO,0,0,0,4,0,0,0,0,0,11,8,3,0,10,,,,,,,,
725,JIGAWA,KAFIN HAUSA,Jabo Primary Health Centre,NO,0,0,0,8,0,0,0,0,0,11,8,3,0,10,,,,,,,,
726,JIGAWA,KAFIN HAUSA,Kanzan Primary Health Centre,NO,0,0,0,6,0,0,0,0,0,11,8,3,0,10,,,,,,,,
727,JIGAWA,KAFIN HAUSA,Kwatalo Primary Health Centre,NO,0,0,0,6,0,0,0,0,0,11,8,3,0,10,,,,,,,,
728,JIGAWA,KAFIN HAUSA,Kwazalewa Primary Health Centre,NO,0,0,0,3,0,0,0,0,0,11,8,3,0,10,,,,,,,,
729,JIGAWA,KAFIN HAUSA,Ramfa Primary Health Centre,NO,0,0,0,3,0,0,0,0,0,11,8,3,0,10,,,,,,,,
730,JIGAWA,KAFIN HAUSA,Ruba Primary Health Centre,NO,0,0,0,6,0,0,0,0,0,11,8,3,0,10,,,,,,,,
731,JIGAWA,KAFIN HAUSA,Sarawa Primary Health Centre,NO,0,0,0,6,0,0,0,0,0,11,8,3,0,10,,,,,,,,
732,JIGAWA,KAFIN HAUSA,Shakato Primary Health Centre,NO,0,0,0,5,0,0,0,0,0,11,8,3,0,10,,,,,,,,
733,JIGAWA,KAFIN HAUSA,Shamakeri Primary Health Centre,NO,0,0,0,4,0,0,0,0,0,11,8,3,0,10,,,,,,,,
734,JIGAWA,KAFIN HAUSA,Tuminjira Primary Health Centre,NO,0,0,0,3,0,0,0,0,0,11,8,3,0,10,,,,,,,,
735,JIGAWA,MAIGATARI,Bosuwa Primary Health Centre,NO,0,0,0,2,0,0,0,0,0,11,4,7,0,4,,,,,,,,
736,JIGAWA,MAIGATARI,Daguma Primary Health Centre,NO,0,0,0,3,0,0,0,0,0,11,4,7,0,4,,,,,,,,
737,JIGAWA,MAIGATARI,Dankumbo Primary Health Centre,NO,0,0,0,2,0,0,0,0,0,11,4,7,0,4,,,,,,,,
738,JIGAWA,MAIGATARI,Fulata Primary Health Centre,NO,0,0,0,3,0,0,0,0,0,11,4,7,0,4,,,,,,,,
739,JIGAWA,MAIGATARI,Galadi Primary Health Centre,NO,0,0,0,4,0,0,0,0,0,11,4,7,0,4,,,,,,,,
740,JIGAWA,MAIGATARI,Jajeri Primary Health Centre,NO,0,0,0,2,0,0,0,0,0,11,4,7,0,4,,,,,,,,
741,JIGAWA,MAIGATARI,Kuka Yasku Babba Primary Health Centre,NO,0,0,0,5,0,0,0,0,0,11,4,7,0,4,,,,,,,,
742,JIGAWA,MAIGATARI,Kukayaskun Kalu Primary Health Centre,NO,0,0,0,2,0,0,0,0,0,11,4,7,0,4,,,,,,,,
743,JIGAWA,MAIGATARI,Madana Primary Health Centre,NO,0,0,0,2,0,0,0,0,0,11,4,7,0,4,,,,,,,,
744,JIGAWA,MAIGATARI,Maigatari Primary Health Centre,NO,0,0,0,35,0,0,0,0,0,11,4,7,0,4,,,,,,,,
745,JIGAWA,MAIGATARI,S/Maja Primary Health Centre,NO,0,0,0,7,0,0,0,0,0,11,4,7,0,4,,,,,,,,
746,JIGAWA,TAURA,Ajaura Primary Health Centre,NO,0,0,0,3,54,0,0,0,0,10,1,9,0,8,,,,,,,,
747,JIGAWA,TAURA,Chakwaikwaiwa Primary Health Centre,NO,0,0,0,5,54,0,0,0,0,10,1,9,0,8,,,,,,,,
748,JIGAWA,TAURA,Chukuto Primary Health Centre,NO,0,0,0,4,54,0,0,0,0,10,1,9,0,8,,,,,,,,
749,JIGAWA,TAURA,Gujungu Primary Health Centre,NO,0,0,0,6,54,0,0,0,0,10,1,9,0,8,,,,,,,,
750,JIGAWA,TAURA,Kiri Primary Health Centre,NO,0,0,0,3,54,0,0,0,0,10,1,9,0,8,,,,,,,,
751,JIGAWA,TAURA,Kwalam Mphc Primary Health Centre,NO,0,0,0,4,54,0,0,0,0,10,1,9,0,8,,,,,,,,
752,JIGAWA,TAURA,Majia Primary Health Centre,NO,0,0,0,8,54,0,0,0,0,10,1,9,0,8,,,,,,,,
753,JIGAWA,TAURA,Sabon Garin 'ya'ya Primary Health Centre,NO,0,0,0,5,54,0,0,0,0,10,1,9,0,8,,,,,,,,
754,JIGAWA,TAURA,Taura Primary Health Centre,NO,0,0,0,11,54,0,0,0,0,10,1,9,0,8,,,,,,,,
755,JIGAWA,TAURA,Tsadawa Health Clinic,NO,0,0,0,4,54,0,0,0,0,10,1,9,0,8,,,,,,,,
756,KADUNA,CHIKUN,Buruku Primary Health Centre,YES,,4,4,2,344,696,696,696,0,12,6,6,0,4,,,,,,,,Buruku Primary Health Centre
757,KADUNA,CHIKUN,Gwagwada Primary Health Centre,YES,,1,1,3,344,696,696,696,0,12,6,6,0,4,,,,,,,,Gwagwada Primary Health Centre
758,KADUNA,CHIKUN,Kakau Primary Health Centre,YES,,3,3,12,344,696,696,696,0,12,6,6,0,4,,,,,,,,Kakau Primary Health Centre
759,KADUNA,CHIKUN,Kuriga Primary Health Centre,YES,,5,5,3,344,696,696,696,0,12,6,6,0,4,,,,,,,,Kuriga Primary Health Centre
760,KADUNA,CHIKUN,Maraban Rido Primary Health Centre,YES,,10,10,23,344,696,696,696,0,12,6,6,0,4,,,,,,,,Mararraban Rido Primary Health Centre
761,KADUNA,CHIKUN,Narayi Primary Health Centre,YES,,14,14,27,344,696,696,696,0,12,6,6,0,4,,,,,,,,Narayi Primary Health Centre
762,KADUNA,CHIKUN,Nasarawa Primary Health Centre,YES,,9,9,2,344,696,696,696,0,12,6,6,0,4,,,,,,,,Nassarawa Primary Health Centre (Chikun)
763,KADUNA,CHIKUN,Romi Primary Health Centre,YES,,7,7,29,344,696,696,696,0,12,6,6,0,4,,,,,,,,Romi Primary Health Centre
764,KADUNA,CHIKUN,Sabon Gari Primary Health Centre,YES,,6,6,13,344,696,696,696,0,12,6,6,0,4,,,,,,,,Sabon Gari Primary Health Centre Chikun
765,KADUNA,CHIKUN,Sabon Gayan Health Centre,YES,,6,6,2,344,696,696,696,0,12,6,6,0,4,,,,,,,,Sabon Gaya Health Clinic
766,KADUNA,CHIKUN,Sabon Tasha Primary Health Centre,YES,,22,22,29,344,696,696,696,0,12,6,6,0,4,,,,,,,,Sabon Tasha Primary Health Centre
767,KADUNA,CHIKUN,T/Wada Kujama Primary Health Centre,YES,,5,5,17,344,696,696,696,0,12,6,6,0,4,,,,,,,,Tudun Wada Kujama Primary Health Centre
768,KADUNA,GIWA,Danmahawayi Primary Health Centre,NO,,0,0,4,150,696,696,696,0,11,7,4,0,7,,,,,,,,Danmahawayi Primary Health Centre
769,KADUNA,GIWA,Galadimawa Primary Health Centre,NO,,0,0,2,150,696,696,696,0,11,7,4,0,7,,,,,,,,Galadimawa Primary Health Centre
770,KADUNA,GIWA,Gangara Primary Health Centre,NO,,0,0,8,150,696,696,696,0,11,7,4,0,7,,,,,,,,Gangara Primary Health Centre
771,KADUNA,GIWA,Giwa Primary Health Centre,NO,,0,0,11,150,696,696,696,0,11,7,4,0,7,,,,,,,,Giwa Primary Health Centre
772,KADUNA,GIWA,Kakangi Primary Health Centre,NO,,0,0,6,150,696,696,696,0,11,7,4,0,7,,,,,,,,Kakangi Primary Health Centre
773,KADUNA,GIWA,Kaya Primary Health Centre,NO,,0,0,3,150,696,696,696,0,11,7,4,0,7,,,,,,,,Kaya Primary Health Centre
774,KADUNA,GIWA,Kidandan Primary Health Centre,NO,,0,0,2,150,696,696,696,0,11,7,4,0,7,,,,,,,,Kidandan Primary Health Centre
